"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"08/09/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","41","18","18"
"08/10/2023","13","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow",".","12","13"
"08/11/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","40","19","13"
"08/12/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","38","18","18"
"08/13/2023","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","43","22","25"
"08/14/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","48","40","29"
"08/15/2023","49","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","49","44","33"
"08/16/2023","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","45","42","36"
"08/17/2023","50","PM10","BURBANK - MAPLE ST","53-071-0006","AirNow","40","50","46"
"08/18/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","48","37","24"
"08/19/2023","164","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","54","93","164"
"08/20/2023","277","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","43","124","277"
"08/21/2023","238","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","35","136","238"
"08/22/2023","80","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","22","31","80"
"08/23/2023","45","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","39","19","45"
"08/24/2023","64","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","49","39","64"
"08/25/2023","61","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","36","35","61"
"08/26/2023","60","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow",".","27","60"
"08/27/2023","49","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","49","31","48"
"08/28/2023","51","PM10","BURBANK - MAPLE ST","53-071-0006","AirNow","51","51","43"
"08/29/2023","83","PM10","BURBANK - MAPLE ST","53-071-0006","AirNow",".","83","54"
"08/30/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33","24","15"
"08/31/2023","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31","12","17"
"09/01/2023","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33","18","19"
"09/02/2023","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","41","24","35"
"09/03/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","37","15","23"
