UNITID
INSTNM
CITY
STABBR
ZIP
INSTURL
HIGHDEG
CONTROL
ST_FIPS
REGION
LOCALE
CCBASIC
CCUGPROF
CCSIZSET
HBCU
PBI
ANNHI
TRIBAL
AANAPII
HSI
NANTI
MENONLY
WOMENONLY
RELAFFIL
ADM_RATE
SATVR25
SATVR75
SATMT25
SATMT75
SATVRMID
SATMTMID
ACTCMMID
ACTENMID
ACTMTMID
PCIP01
PCIP03
PCIP04
PCIP05
PCIP09
PCIP10
PCIP11
PCIP12
PCIP13
PCIP14
PCIP15
PCIP16
PCIP19
PCIP22
PCIP23
PCIP24
PCIP25
PCIP26
PCIP27
PCIP29
PCIP30
PCIP31
PCIP38
PCIP39
PCIP40
PCIP41
PCIP42
PCIP43
PCIP44
PCIP45
PCIP46
PCIP47
PCIP48
PCIP49
PCIP50
PCIP51
PCIP52
PCIP54
UGDS_WHITE
UGDS_BLACK
UGDS_HISP
UGDS_ASIAN
UGDS_AIAN
UGDS_NHPI
UGDS_2MOR
UGDS_NRA
UGDS_UNKN
PPTUG_EF
NUM4_PRIV
COSTT4_A
INEXPFTE
AVGFACSAL
PFTFAC
PCTPELL
C150_4
PFTFTUG1_EF
D150_4
RET_FT4
PCTFLOAN
UG25ABV
GRAD_DEBT_MDN
FIRSTGEN_DEBT_MDN
NOTFIRSTGEN_DEBT_MDN
COUNT_NWNE_P10
COUNT_WNE_P10
MD_EARN_WNE_P10
PCT75_EARN_WNE_P10
COUNT_WNE_MALE0_P10
COUNT_WNE_MALE1_P10
UGDS_MEN
UGDS_WOMEN
PRGMOFR
BOOKSUPPLY
ROOMBOARD_ON
OTHEREXPENSE_ON
ROOMBOARD_OFF
OTHEREXPENSE_OFF
OTHEREXPENSE_FAM
ENDOWBEGIN
ENDOWEND
ADMCON7
